식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D220-748110000-0077,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,27,,1.32,,,,1.88,,,,,,18,,,,,,,,,,0.87,,3,식품의약품안전처,,532ml,이디야,2,수집,2024-12-13,2025-12-29,1471000,식품의약품안전처
D220-748000000-0457,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,33,,1.48,,,,1.90,,,,,,15,,,,,,,,,,0.82,,3,식품의약품안전처,,473g,투썸플레이스,2,수집,2022-07-12,2025-12-29,1471000,식품의약품안전처
D220-748000000-0456,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,35,,1.53,,,,2.30,,,,,,37,,,,,,,,,,1.28,,3,식품의약품안전처,,530g,커피마마,2,수집,2022-07-07,2025-12-29,1471000,식품의약품안전처
D220-748000000-0434,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,25,,1.56,,,,1.78,,,,,,22,,,,,,,,,,0.24,,3,식품의약품안전처,,450g,카페베네,2,수집,2022-07-05,2025-12-29,1471000,식품의약품안전처
D220-748000000-1037,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,52,,1.80,,,,3.00,,,,,,31,,,,,,,,,,1.20,,3,식품의약품안전처,,450g,커피:니,2,수집,2023-09-19,2025-12-29,1471000,식품의약품안전처
D220-748000000-1036,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,28,,1.31,,,,2.06,,,,,,21,,,,,,,,,,0.95,,3,식품의약품안전처,,946g,아임일리터,2,수집,2023-06-30,2025-12-29,1471000,식품의약품안전처
D220-748000000-1034,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,43,,1.90,,,,3.59,,,,,,29,,,,,,,,,,2.11,,3,식품의약품안전처,,473g,달콤,2,수집,2023-06-30,2025-12-29,1471000,식품의약품안전처
D220-748110000-0076,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,27,,1.65,,,,1.52,,,,,,17,,,,,,,,,,0.93,,3,식품의약품안전처,,473ml,드롭탑,2,수집,2025-02-25,2025-12-29,1471000,식품의약품안전처
D220-748110000-0078,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,29,,1.27,,,,1.90,,,,,,21,,,,,,,,,,1.02,,3,식품의약품안전처,,473ml,공차,2,수집,2025-02-05,2025-12-29,1471000,식품의약품안전처
D220-748110000-0080,커피_카페 라떼 아이스(ICED) (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,21,,1.00,,,1.70,1.70,,,,,,15,,,,,,,,,,0.80,,3,식품의약품안전처,,1000m,더리터,2,수집,2025-01-17,2025-12-29,1471000,식품의약품안전처
