식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D302-053000000-0001,가래떡,D,음식,3,외식(분석함량),02,빵 및 과자류,02053,가래떡,0205300,해당없음,020530000,해당없음,00,해당없음,100g,210,48.0,4.00,1.08,0.77,46.11,0.06,0.7,12,0.18,43,27,250,,0,0,0.008,0.014,0.193,0.29,0.00,0.00,0.22,0.00,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D102-053000000-0001,가래떡,D,음식,1,가정식(분석 함량),02,빵 및 과자류,02053,가래떡,0205300,해당없음,020530000,해당없음,00,해당없음,100g,195,51.1,3.92,0.51,0.71,43.73,0.00,0.6,5,0.25,43,23,241,0,0,0,0.000,0.020,0.000,0.00,0.00,0.00,0.19,0.00,3,식품의약품안전처,,100g,해당없음,1,분석,2018-12-31,2025-12-29,1471000,식품의약품안전처
D302-053440000-0001,가래떡_흑미,D,음식,3,외식(분석함량),02,빵 및 과자류,02053,가래떡,0205344,흑미,020534400,해당없음,00,해당없음,100g,205,48.1,3.50,0.00,0.60,47.80,,,8,1.30,52,46,226,1,0,14,0.050,0.020,0.900,0.00,,,0.00,0.00,1,농촌진흥청(국가표준식품성분표),,100g,해당없음,1,분석,2016-12-31,2025-12-29,1471000,식품의약품안전처
D407-304000000-0001,가오리찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07304,가오리찜,0730400,해당없음,073040000,해당없음,00,해당없음,100ml,29,42.5,2.70,0.84,,3.52,0.70,1.3,27,0.42,60,124,127,13,0,156,0.045,0.080,0.546,0.94,0.14,4.11,0.15,,3,식품의약품안전처,,600ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D107-304000000-0001,가오리찜,D,음식,1,가정식(분석 함량),07,찜류,07304,가오리찜,0730400,해당없음,073040000,해당없음,00,해당없음,100g,102,75.7,21.99,1.39,0.43,0.46,0.06,2.4,8,0.09,3,11,151,55,51,48,0.165,0.085,0.000,0.00,0.00,91.28,0.26,0.00,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D407-305000000-0001,가오리콩나물찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07305,가오리콩나물찜,0730500,해당없음,073050000,해당없음,00,해당없음,100ml,29,42.5,2.68,0.84,,3.50,0.69,1.3,27,0.42,60,125,111,13,0,156,0.045,0.081,0.558,0.95,0.14,4.13,0.15,,3,식품의약품안전처,,600ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D414-663000000-0001,가오리회무침,D,음식,4,외식(재료량 기반 산출함량),14,생채·무침류,14663,가오리회무침,1466300,해당없음,146630000,해당없음,00,해당없음,100ml,47,48.1,4.70,0.47,,6.47,3.54,1.3,54,0.37,126,154,164,27,0,329,0.040,0.107,0.711,2.84,0.64,16.06,0.09,,3,식품의약품안전처,,270ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D714-663000000-0001,가오리회무침,D,음식,7,산업체급식(재료량 기반 산출 함량),14,생채·무침류,14663,가오리회무침,1466300,해당없음,146630000,해당없음,00,해당없음,100ml,47,48.1,4.70,0.47,,6.47,3.54,1.3,54,0.37,126,154,164,27,0,329,0.040,0.107,0.711,2.84,0.64,16.06,0.09,,3,식품의약품안전처,,270ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D406-304000000-0001,가자미 매운탕,D,음식,4,외식(재료량 기반 산출함량),06,찌개 및 전골류,06304,가자미 매운탕,0630400,해당없음,063040000,해당없음,00,해당없음,100ml,31,23.0,4.50,0.82,,1.40,0.38,0.6,12,0.23,46,125,130,11,1,114,0.048,0.075,0.914,1.28,2.95,18.00,0.14,,3,식품의약품안전처,,550ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D706-304000000-0001,가자미 매운탕,D,음식,7,산업체급식(재료량 기반 산출 함량),06,찌개 및 전골류,06304,가자미 매운탕,0630400,해당없음,063040000,해당없음,00,해당없음,100ml,31,23.0,4.40,0.81,,1.50,0.36,0.5,12,0.23,45,123,113,11,1,113,0.048,0.077,0.920,1.26,2.95,18.00,0.14,,3,식품의약품안전처,,550ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D708-352000000-0001,가자미구이,D,음식,7,산업체급식(재료량 기반 산출 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,150,47.2,14.69,7.80,,3.85,0.03,0.1,27,0.50,132,250,291,5,5,0,0.124,0.169,2.794,1.30,10.47,63.90,1.22,,3,식품의약품안전처,,190ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D108-352000000-0001,가자미구이,D,음식,1,가정식(분석 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100g,123,73.6,18.70,5.02,1.99,0.66,0.00,1.5,180,0.35,275,309,315,4,4,0,0.000,0.290,1.460,0.47,0.00,84.33,0.82,0.10,3,식품의약품안전처,,200g,해당없음,1,분석,2019-12-31,2025-12-29,1471000,식품의약품안전처
D508-352000000-0001,가자미구이,D,음식,5,초등학교급식(재료량 기반 산출 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,222,97.2,29.70,10.20,,0.60,0.00,0.1,56,0.98,264,514,1295,11,11,1,0.242,0.350,5.778,2.69,21.79,133.00,1.63,,3,식품의약품안전처,,79.40,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D408-352000000-0001,가자미구이,D,음식,4,외식(재료량 기반 산출함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,108,38.6,11.89,5.73,,1.26,0.00,0.0,22,0.39,105,203,240,4,4,0,0.098,0.139,2.291,1.07,8.62,52.61,0.89,,3,식품의약품안전처,,190ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D608-352000000-0001,가자미구이,D,음식,6,중고등학교급식(재료량 기반 산출함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,127,46.9,14.41,6.46,,1.65,0.01,0.1,27,0.48,128,247,289,7,7,0,0.118,0.169,2.783,1.32,10.47,64.53,1.09,,3,식품의약품안전처,,100ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D308-352000000-0001,가자미구이,D,음식,3,외식(분석함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100g,151,67.9,22.61,6.42,2.31,0.76,0.58,0.0,186,0.35,247,264,489,,8,0,0.229,0.204,4.742,3.82,0.00,122.47,1.25,0.09,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D116-684000000-0001,가자미식해,D,음식,1,가정식(분석 함량),16,젓갈류,16684,가자미식해,1668400,해당없음,166840000,해당없음,00,해당없음,100g,134,69.3,11.09,4.81,3.16,11.64,3.71,4.1,296,1.16,241,253,685,118,8,1317,0.268,0.132,0.000,2.56,0.00,73.81,0.70,0.03,3,식품의약품안전처,,250g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D411-506000000-0001,가자미조림,D,음식,4,외식(재료량 기반 산출함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,62,50.8,7.90,1.37,,4.41,1.51,0.9,21,0.41,82,233,241,11,3,105,0.081,0.169,1.598,3.52,5.26,32.10,0.24,,3,식품의약품안전처,,280ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D311-506000000-0001,가자미조림,D,음식,3,외식(분석함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100g,99,75.9,12.37,2.37,2.20,7.17,3.50,1.8,76,0.00,148,279,564,38,23,181,0.110,0.090,0.333,1.39,,75.99,0.43,0.03,3,식품의약품안전처,,300g,해당없음,1,분석,2016-10-31,2025-12-29,1471000,식품의약품안전처
D511-506000000-0001,가자미조림,D,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,174,85.5,23.90,5.28,,7.14,2.59,1.7,78,1.22,242,522,691,24,8,191,0.215,0.587,4.720,2.21,15.82,96.56,0.90,,3,식품의약품안전처,,67ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D711-506000000-0001,가자미조림,D,음식,7,산업체급식(재료량 기반 산출 함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,87,70.8,12.20,2.52,,3.64,0.82,1.1,40,0.65,129,332,345,12,4,92,0.121,0.277,2.399,3.74,8.02,48.94,0.43,,3,식품의약품안전처,,188.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D611-506000000-0001,가자미조림,D,음식,6,중고등학교급식(재료량 기반 산출함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,174,85.7,23.90,5.28,,7.00,2.53,1.7,73,1.26,242,521,691,26,8,213,0.210,0.583,4.681,2.42,15.82,96.56,0.89,,3,식품의약품안전처,,67ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D707-352000000-0001,가자미찜,D,음식,7,산업체급식(재료량 기반 산출 함량),07,찜류,07352,가자미찜,0735200,해당없음,073520000,해당없음,00,해당없음,100ml,77,59.5,11.70,1.95,,2.67,0.72,0.7,27,0.52,116,288,344,10,4,76,0.109,0.231,2.301,2.48,8.07,49.27,0.34,,3,식품의약품안전처,,170.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D407-352000000-0001,가자미찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07352,가자미찜,0735200,해당없음,073520000,해당없음,00,해당없음,100ml,78,59.4,11.80,1.95,,2.79,0.83,0.7,27,0.52,115,287,345,11,4,79,0.108,0.230,2.326,2.70,8.07,49.28,0.34,,3,식품의약품안전처,,170.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D612-573000000-0001,가자미튀김,D,음식,6,중고등학교급식(재료량 기반 산출함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,225,69.2,20.70,12.36,,5.54,0.01,0.2,40,0.81,188,344,758,17,17,0,0.171,0.252,3.721,1.73,14.01,110.17,2.02,,3,식품의약품안전처,,56.90,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D412-573000000-0001,가자미튀김,D,음식,4,외식(재료량 기반 산출함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,94,16.1,5.10,6.54,,2.89,0.00,0.1,10,0.18,48,87,215,2,2,0,0.044,0.058,0.947,0.44,3.53,21.52,0.99,,3,식품의약품안전처,,100ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D712-573000000-0001,가자미튀김,D,음식,7,산업체급식(재료량 기반 산출 함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,94,16.1,5.10,6.54,,2.89,0.00,0.1,10,0.18,48,87,215,2,2,0,0.044,0.058,0.947,0.44,3.53,21.52,0.99,,3,식품의약품안전처,,100ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D512-573000000-0001,가자미튀김,D,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,225,69.2,20.70,12.36,,5.54,0.01,0.2,40,0.81,188,344,758,17,17,0,0.171,0.252,3.721,1.73,14.01,110.17,2.02,,3,식품의약품안전처,,56.90,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D114-601000000-0001,가죽나물무침,D,음식,1,가정식(분석 함량),14,생채·무침류,14601,가죽나물무침,1460100,해당없음,146010000,해당없음,00,해당없음,100g,76,80.9,5.83,1.35,1.85,10.05,3.81,6.2,69,2.38,109,448,276,23,0,274,0.550,0.075,0.000,2.55,0.00,0.00,0.19,0.01,3,식품의약품안전처,,80g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D415-684000000-0001,가지김치,D,음식,4,외식(재료량 기반 산출함량),15,김치류,15684,가지김치,1568400,해당없음,156840000,해당없음,00,해당없음,100ml,36,81.1,2.10,0.77,,6.22,2.45,3.5,62,0.70,58,292,1592,22,0,263,0.052,0.236,0.656,0.24,0.00,5.54,0.15,,3,식품의약품안전처,,100ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D113-567000000-0001,가지나물,D,음식,1,가정식(분석 함량),13,나물·숙채류,13567,가지나물,1356700,해당없음,135670000,해당없음,00,해당없음,100g,36,91.8,1.42,1.50,1.12,4.18,2.34,2.7,23,0.24,45,222,274,10,0,124,0.000,0.060,0.660,0.80,0.00,0.00,0.22,0.00,3,식품의약품안전처,,50g,해당없음,1,분석,2019-12-31,2025-12-29,1471000,식품의약품안전처
D613-567000000-0001,가지나물,D,음식,6,중고등학교급식(재료량 기반 산출함량),13,나물·숙채류,13567,가지나물,1356700,해당없음,135670000,해당없음,00,해당없음,100ml,64,108.7,2.60,2.86,,8.10,2.95,4.0,32,0.65,68,360,584,19,0,230,0.059,0.369,0.716,0.35,0.00,0.00,0.46,,3,식품의약품안전처,,39.40,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D413-567000000-0001,가지나물,D,음식,4,외식(재료량 기반 산출함량),13,나물·숙채류,13567,가지나물,1356700,해당없음,135670000,해당없음,00,해당없음,100ml,24,67.1,1.10,0.85,,3.73,1.84,2.0,16,0.25,31,177,228,7,0,88,0.030,0.131,0.289,0.59,0.00,0.00,0.14,,3,식품의약품안전처,,130ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D513-567000000-0001,가지나물,D,음식,5,초등학교급식(재료량 기반 산출 함량),13,나물·숙채류,13567,가지나물,1356700,해당없음,135670000,해당없음,00,해당없음,100ml,34,63.5,1.24,1.54,,4.34,1.89,2.1,18,0.31,35,186,227,9,0,113,0.031,0.163,0.356,1.06,0.00,0.00,0.24,,3,식품의약품안전처,,40ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D713-567000000-0001,가지나물,D,음식,7,산업체급식(재료량 기반 산출 함량),13,나물·숙채류,13567,가지나물,1356700,해당없음,135670000,해당없음,00,해당없음,100ml,25,67.0,1.06,0.85,,3.82,1.84,2.0,16,0.25,31,176,218,7,0,88,0.029,0.132,0.299,0.61,0.00,0.00,0.14,,3,식품의약품안전처,,130ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D705-260000000-0001,가지냉국,D,음식,7,산업체급식(재료량 기반 산출 함량),05,국 및 탕류,05260,가지냉국,0526000,해당없음,052600000,해당없음,00,해당없음,100ml,19,52.5,1.10,0.39,,3.42,1.40,1.9,16,0.27,30,168,654,9,0,112,0.031,0.127,0.315,0.24,0.00,0.00,0.08,,3,식품의약품안전처,,160ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D410-448010000-0001,가지볶음_가지,D,음식,4,외식(재료량 기반 산출함량),10,볶음류,10448,가지볶음,1044801,가지,104480100,해당없음,00,해당없음,100ml,35,52.8,0.90,2.17,,3.36,1.55,1.6,12,0.22,25,139,207,4,0,47,0.023,0.116,0.236,0.41,0.00,0.01,0.33,,3,식품의약품안전처,,60ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D410-448010400-0001,가지볶음_가지_고추,D,음식,4,외식(재료량 기반 산출함량),10,볶음류,10448,가지볶음,1044801,가지,104480104,고추,00,해당없음,100ml,27,54.2,0.91,1.27,,3.36,1.65,1.6,11,0.21,24,142,163,4,0,51,0.024,0.117,0.238,1.33,0.00,0.00,0.20,,3,식품의약품안전처,,60ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D410-448011300-0001,가지볶음_가지_당근,D,음식,4,외식(재료량 기반 산출함량),10,볶음류,10448,가지볶음,1044801,가지,104480113,당근,00,해당없음,100ml,37,60.5,0.93,1.94,,4.56,2.21,1.7,13,0.22,27,155,169,19,0,227,0.026,0.115,0.262,0.63,0.00,0.01,0.30,,3,식품의약품안전처,,75ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D609-407000000-0001,가지전,D,음식,6,중고등학교급식(재료량 기반 산출함량),09,전·적 및 부침류,09407,가지전,0940700,해당없음,094070000,해당없음,00,해당없음,100ml,37,25.3,1.10,1.99,,3.68,0.55,0.7,6,0.15,17,64,182,5,4,12,0.016,0.050,0.102,0.01,0.04,10.32,0.35,,3,식품의약품안전처,,208.7,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D409-407000000-0001,가지전,D,음식,4,외식(재료량 기반 산출함량),09,전·적 및 부침류,09407,가지전,0940700,해당없음,094070000,해당없음,00,해당없음,100ml,114,77.3,3.20,6.13,,11.22,1.69,2.2,19,0.47,52,195,537,15,13,38,0.049,0.154,0.312,0.02,0.11,31.43,1.07,,3,식품의약품안전처,,96.50,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D709-407000000-0001,가지전,D,음식,7,산업체급식(재료량 기반 산출 함량),09,전·적 및 부침류,09407,가지전,0940700,해당없음,094070000,해당없음,00,해당없음,100ml,114,77.3,3.20,6.13,,11.22,1.69,2.2,19,0.47,52,195,537,15,13,38,0.049,0.154,0.312,0.02,0.11,31.43,1.07,,3,식품의약품안전처,,96.50,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D509-407000000-0001,가지전,D,음식,5,초등학교급식(재료량 기반 산출 함량),09,전·적 및 부침류,09407,가지전,0940700,해당없음,094070000,해당없음,00,해당없음,100ml,37,25.3,1.10,1.99,,3.68,0.55,0.7,6,0.15,17,64,182,5,4,12,0.016,0.050,0.102,0.01,0.04,10.32,0.35,,3,식품의약품안전처,,208.7,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D109-407000000-0001,가지전,D,음식,1,가정식(분석 함량),09,전·적 및 부침류,09407,가지전,0940700,해당없음,094070000,해당없음,00,해당없음,100g,123,76.8,5.48,7.28,1.58,8.88,0.84,2.3,33,0.92,89,187,337,3,0,36,0.040,0.085,0.080,0.00,0.00,98.48,1.80,0.10,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D407-353000000-0001,가지찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07353,가지찜,0735300,해당없음,073530000,해당없음,00,해당없음,100ml,120,100.3,5.60,6.29,,10.23,2.64,2.9,21,0.92,80,313,402,24,5,228,0.068,0.335,0.876,7.16,0.00,15.81,2.35,,3,식품의약품안전처,,100ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D507-353000000-0001,가지찜,D,음식,5,초등학교급식(재료량 기반 산출 함량),07,찜류,07353,가지찜,0735300,해당없음,073530000,해당없음,00,해당없음,100ml,120,100.3,5.60,6.23,,10.22,2.64,2.9,21,0.93,80,314,401,24,5,226,0.067,0.335,0.875,7.10,0.00,15.81,2.34,,3,식품의약품안전처,,54.50,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D712-574000000-0001,가지탕수,D,음식,7,산업체급식(재료량 기반 산출 함량),12,튀김류,12574,가지탕수,1257400,해당없음,125740000,해당없음,00,해당없음,100ml,154,69.0,2.20,6.50,,21.21,4.19,2.1,21,0.35,74,187,236,3,0,33,0.045,0.170,0.319,0.15,0.00,0.00,0.99,,3,식품의약품안전처,,195.4,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D412-574000000-0001,가지탕수,D,음식,4,외식(재료량 기반 산출함량),12,튀김류,12574,가지탕수,1257400,해당없음,125740000,해당없음,00,해당없음,100ml,154,69.0,2.20,6.50,,21.21,4.19,2.1,21,0.35,74,187,236,3,0,33,0.045,0.170,0.319,0.15,0.00,0.00,0.99,,3,식품의약품안전처,,195.4,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D612-574000000-0001,가지탕수,D,음식,6,중고등학교급식(재료량 기반 산출함량),12,튀김류,12574,가지탕수,1257400,해당없음,125740000,해당없음,00,해당없음,100ml,171,76.6,2.40,7.24,,23.56,4.66,2.4,24,0.39,82,208,262,3,0,37,0.050,0.189,0.354,0.17,0.00,0.00,1.10,,3,식품의약품안전처,,70.20,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D403-141000000-0001,간자장,D,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,03141,간자장,0314100,해당없음,031410000,해당없음,00,해당없음,100ml,155,50.9,5.39,2.81,,25.98,2.83,1.8,21,0.41,56,231,345,3,2,12,0.046,0.078,0.512,3.72,0.05,8.44,0.61,,3,식품의약품안전처,,800ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D103-141000000-0001,간자장,D,음식,1,가정식(분석 함량),03,면 및 만두류,03141,간자장,0314100,해당없음,031410000,해당없음,00,해당없음,100g,125,73.3,5.12,4.89,1.52,15.13,0.86,1.5,12,0.54,53,125,455,0,0,0,0.240,0.212,0.112,4.57,0.00,6.05,0.80,0.03,3,식품의약품안전처,,500g,해당없음,1,분석,2018-12-31,2025-12-29,1471000,식품의약품안전처
D303-141000000-0001,간자장,D,음식,3,외식(분석함량),03,면 및 만두류,03141,간자장,0314100,해당없음,031410000,해당없음,00,해당없음,100g,127,71.3,3.44,3.39,1.26,20.65,1.87,4.4,18,0.01,36,112,418,2,0,21,0.036,0.077,0.826,0.00,,4.42,1.49,0.04,3,식품의약품안전처,,650g,해당없음,1,분석,2012-02-28,2025-12-29,1471000,식품의약품안전처
D403-141500000-0001,간자장_해물,D,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,03141,간자장,0314150,해물,031415000,해당없음,00,해당없음,100ml,151,54.7,6.90,3.18,,22.69,2.45,1.6,27,0.81,75,220,380,4,2,24,0.043,0.079,0.710,3.51,0.36,28.99,0.66,,3,식품의약품안전처,,885ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D414-602000000-0001,간재미회무침,D,음식,4,외식(재료량 기반 산출함량),14,생채·무침류,14602,간재미회무침,1460200,해당없음,146020000,해당없음,00,해당없음,100ml,47,48.1,4.73,0.47,,6.47,3.57,1.3,54,0.37,126,154,164,27,0,329,0.040,0.107,0.712,2.84,0.64,16.06,0.09,,3,식품의약품안전처,,270ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D308-353050000-0001,갈매기살구이_돼지고기,D,음식,3,외식(분석함량),08,구이류,08353,갈매기살구이,0835305,돼지고기,083530500,해당없음,00,해당없음,100g,312,48.8,26.98,22.60,1.32,0.28,0.00,0.0,13,2.64,249,372,124,,15,0,0.825,0.804,6.316,3.97,0.00,96.84,9.82,0.05,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D308-354050000-0001,갈비구이_돼지고기,D,음식,3,외식(분석함량),08,구이류,08354,갈비구이,0835405,돼지고기,083540500,해당없음,00,해당없음,100g,294,51.4,19.58,21.39,1.81,5.78,5.70,0.0,46,0.86,150,254,389,,7,2,0.411,0.229,4.652,0.75,0.00,59.95,7.61,0.09,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D308-354120000-0001,갈비구이_소고기,D,음식,3,외식(분석함량),08,구이류,08354,갈비구이,0835412,소고기,083541200,해당없음,00,해당없음,100g,309,48.4,20.94,21.81,1.72,7.13,6.69,0.0,44,2.07,123,174,447,,4,6,0.055,0.240,4.664,0.87,0.00,65.47,8.18,0.22,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D108-354120000-0001,갈비구이_소고기,D,음식,1,가정식(분석 함량),08,구이류,08354,갈비구이,0835412,소고기,083541200,해당없음,00,해당없음,100g,241,56.1,25.91,14.55,1.84,1.59,0.26,1.8,34,3.92,179,273,402,6,3,38,0.000,0.513,3.123,0.87,0.00,77.75,5.62,0.60,3,식품의약품안전처,,300g,해당없음,1,분석,2019-12-31,2025-12-29,1471000,식품의약품안전처
D308-354123400-0001,갈비구이_소고기_양념,D,음식,3,외식(분석함량),08,구이류,08354,갈비구이,0835412,소고기,083541234,양념,00,해당없음,100g,330,45.7,20.03,23.87,1.70,8.73,4.63,2.5,28,0.00,138,211,459,8,6,16,0.083,0.123,0.163,0.09,,62.21,9.07,1.17,3,식품의약품안전처,,300g,해당없음,1,분석,2016-10-31,2025-12-29,1471000,식품의약품안전처
D308-354173400-0001,갈비구이_왕갈비_양념,D,음식,3,외식(분석함량),08,구이류,08354,갈비구이,0835417,왕갈비,083541734,양념,00,해당없음,100g,321,47.9,18.07,23.53,1.40,9.13,4.53,0.9,21,0.00,117,189,366,6,6,6,0.000,0.067,0.173,0.00,,39.01,8.67,1.47,3,식품의약품안전처,,150g,해당없음,1,분석,2016-10-31,2025-12-29,1471000,식품의약품안전처
D307-306030000-0001,갈비찜_고춧가루,D,음식,3,외식(분석함량),07,찜류,07306,갈비찜,0730603,고춧가루,073060300,해당없음,00,해당없음,100g,172,63.5,20.43,6.57,1.57,7.90,3.57,2.8,21,0.00,140,362,380,53,0,640,0.147,0.217,0.797,0.47,,54.43,2.67,0.17,3,식품의약품안전처,,300g,해당없음,1,분석,2016-10-31,2025-12-29,1471000,식품의약품안전처
D107-306130000-0001,갈비찜_소고기,D,음식,1,가정식(분석 함량),07,찜류,07306,갈비찜,0730613,소고기,073061300,해당없음,00,해당없음,100g,85,81.2,7.25,3.17,1.39,6.95,0.75,2.0,33,1.07,73,251,272,23,2,245,0.000,0.327,0.000,0.42,0.00,33.38,0.85,0.10,3,식품의약품안전처,,300g,해당없음,1,분석,2019-12-31,2025-12-29,1471000,식품의약품안전처
D307-306130000-0001,갈비찜_소고기,D,음식,3,외식(분석함량),07,찜류,07306,갈비찜,0730613,소고기,073061300,해당없음,00,해당없음,100g,198,62.8,19.94,10.78,1.22,5.26,1.73,0.4,19,0.00,86,141,301,10,4,74,0.053,0.089,0.603,0.00,,56.59,4.13,0.43,3,식품의약품안전처,,250g,해당없음,1,분석,2013-03-31,2025-12-29,1471000,식품의약품안전처
D105-199000000-0001,갈비탕,D,음식,1,가정식(분석 함량),05,국 및 탕류,05199,갈비탕,0519900,해당없음,051990000,해당없음,00,해당없음,100g,54,88.2,8.51,2.06,0.79,0.40,0.11,1.9,14,1.06,49,106,199,2,0,19,0.000,0.090,0.000,0.00,0.00,31.46,0.79,0.06,3,식품의약품안전처,,670g,해당없음,1,분석,2018-12-31,2025-12-29,1471000,식품의약품안전처
